,Date,Match Details,club,Player Name,MinsPlayed,TotalDistance(m),TopSpeed(km/h),AvgSpeed(km/h),HighIntensityActivity,Sprints(> 25.20 km/h)Dist (m),HSR(19.81-25.20 km/h)Dist (m),Distance (m)14.41-19.80km/h,7.21-14.40km/h,0.73-7.20km/h,< 0.72km/h,PDF Name,Young Player,Sprints(> 25.20 km/h) No,HSR(19.81-25.20 km/h) No,Key,season,lastName,firstName,Unnamed: 0,id,values,wages,contractexpires,nation,currentAbility,potentialAbility,position,date,corners,crossing,dribbling,finishing,firstTouch,freeKickTaking,heading,longShots,longThrows,marking,passing,penaltyTaking,tackling,technique,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,offtheBall,positioning,teamwork,vision,workRate,acceleration,agility,balance,jumpingReach,naturalFitness,pace,stamina,strength
10,2020-07-18,Wisła Kraków 0 - 1 Arka Gdynia,Wisła Kraków,Niepsuj D.,96:47,"11186,51","32,23","6,94",68,"283,64","703,01","1624,62","4257,82","4129,58","187,84",12442_filter_live_1.pdf,False,14,54,2020-07-18 Wisła Kraków 0 - 1 Arka Gdynia,2020/2021,Niepsuj,D.,493,91142977,€ 33.500,€ 1.500,2021-06-30,Poland,50,55,DR,2020-11-23,3,12,10,3,8,5,10,6,10,11,12,4,12,8,17,12,13,9,11,10,11,12,10,10,9,14,11,15,11,12,11,14,10,11,14,13
11,2020-07-03,ŁKS Łódź 1 - 2 Wisła Kraków,Wisła Kraków,Niepsuj D.,98:05,"10902,18","33,12","6,67",67,"202,73","848,22","1565,24","4063,12","4123,01","99,86",12417_filter_live_1.pdf,False,11,56,2020-07-03 ŁKS Łódź 1 - 2 Wisła Kraków,2020/2021,Niepsuj,D.,493,91142977,€ 33.500,€ 1.500,2021-06-30,Poland,50,55,DR,2020-11-23,3,12,10,3,8,5,10,6,10,11,12,4,12,8,17,12,13,9,11,10,11,12,10,10,9,14,11,15,11,12,11,14,10,11,14,13
12,2020-07-14,KGHM Zagłębie Lubin 3 - 1 Wisła Kraków,Wisła Kraków,Niepsuj D.,94:21,"10833,89","32,71","6,89",88,"446,55","821,36","1629,44","4204,27","3570,90","161,37",12434_filter_live_1.pdf,False,20,68,2020-07-14 KGHM Zagłębie Lubin 3 - 1 Wisła Kraków,2020/2021,Niepsuj,D.,493,91142977,€ 33.500,€ 1.500,2021-06-30,Poland,50,55,DR,2020-11-23,3,12,10,3,8,5,10,6,10,11,12,4,12,8,17,12,13,9,11,10,11,12,10,10,9,14,11,15,11,12,11,14,10,11,14,13
13,2020-07-11,Wisła Kraków 1 - 1 Korona Kielce,Wisła Kraków,Janicki R.,98:01,"10088,56","29,91","6,18",51,"151,54","611,31","1464,53","4042,23","3760,47","58,48",12429_filter_live_1.pdf,False,6,45,2020-07-11 Wisła Kraków 1 - 1 Korona Kielce,2020/2021,Janicki,R.,567,96017945,€ 35.500,€ 2.800,2021-06-30,Poland,52,58,DC,2020-11-23,5,9,7,6,11,9,11,11,9,12,9,13,12,7,8,12,9,12,7,11,15,7,10,6,13,12,7,14,10,10,13,14,13,12,14,12
14,2020-08-29,Wisła Kraków 1 - 3 Śląsk Wrocław,Wisła Kraków,Janicki R.,96:54,"9977,31","27,13","6,18",39,"15,16","459,31","1673,17","3588,96","4218,00","22,71",12460_filter_live_1.pdf,False,2,37,2020-08-29 Wisła Kraków 1 - 3 Śląsk Wrocław,2020/2021,Janicki,R.,567,96017945,€ 35.500,€ 2.800,2021-06-30,Poland,52,58,DC,2020-11-23,5,9,7,6,11,9,11,11,9,12,9,13,12,7,8,12,9,12,7,11,15,7,10,6,13,12,7,14,10,10,13,14,13,12,14,12
15,2020-09-13,Pogoń Szczecin 2 - 2 Wisła Kraków,Wisła Kraków,Janicki R.,96:45,"9711,56","27,47","6,02",31,"27,54","416,47","1553,48","3600,07","3983,62","130,38",12468_filter_live_1.pdf,False,3,28,2020-09-13 Pogoń Szczecin 2 - 2 Wisła Kraków,2020/2021,Janicki,R.,567,96017945,€ 35.500,€ 2.800,2021-06-30,Poland,52,58,DC,2020-11-23,5,9,7,6,11,9,11,11,9,12,9,13,12,7,8,12,9,12,7,11,15,7,10,6,13,12,7,14,10,10,13,14,13,12,14,12
16,2020-09-18,Wisła Kraków 0 - 3 Wisła Płock,Wisła Kraków,Janicki R.,97:32,"9338,76","29,52","5,74",46,"124,30","618,98","1304,69","3645,19","3333,69","311,91",12479_filter_live_1.pdf,False,8,38,2020-09-18 Wisła Kraków 0 - 3 Wisła Płock,2020/2021,Janicki,R.,567,96017945,€ 35.500,€ 2.800,2021-06-30,Poland,52,58,DC,2020-11-23,5,9,7,6,11,9,11,11,9,12,9,13,12,7,8,12,9,12,7,11,15,7,10,6,13,12,7,14,10,10,13,14,13,12,14,12
17,2020-07-18,Wisła Kraków 0 - 1 Arka Gdynia,Wisła Kraków,Janicki R.,96:47,"10581,24","30,33","6,56",48,"64,96","620,14","1513,65","4222,28","4075,70","84,51",12442_filter_live_1.pdf,False,4,44,2020-07-18 Wisła Kraków 0 - 1 Arka Gdynia,2020/2021,Janicki,R.,567,96017945,€ 35.500,€ 2.800,2021-06-30,Poland,52,58,DC,2020-11-23,5,9,7,6,11,9,11,11,9,12,9,13,12,7,8,12,9,12,7,11,15,7,10,6,13,12,7,14,10,10,13,14,13,12,14,12
18,2020-07-03,ŁKS Łódź 1 - 2 Wisła Kraków,Wisła Kraków,Janicki R.,98:05,"9869,83","31,73","6,04",47,"141,22","618,56","1213,41","3668,49","4205,27","22,88",12417_filter_live_1.pdf,False,6,41,2020-07-03 ŁKS Łódź 1 - 2 Wisła Kraków,2020/2021,Janicki,R.,567,96017945,€ 35.500,€ 2.800,2021-06-30,Poland,52,58,DC,2020-11-23,5,9,7,6,11,9,11,11,9,12,9,13,12,7,8,12,9,12,7,11,15,7,10,6,13,12,7,14,10,10,13,14,13,12,14,12
19,2020-08-24,Jagiellonia Białystok 1 - 1 Wisła Kraków,Wisła Kraków,Janicki R.,98:15,"9663,80","31,44","5,90",40,"118,30","458,17","1143,97","3648,02","4204,38","90,96",12456_filter_live_1.pdf,False,5,35,2020-08-24 Jagiellonia Białystok 1 - 1 Wisła Kraków,2020/2021,Janicki,R.,567,96017945,€ 35.500,€ 2.800,2021-06-30,Poland,52,58,DC,2020-11-23,5,9,7,6,11,9,11,11,9,12,9,13,12,7,8,12,9,12,7,11,15,7,10,6,13,12,7,14,10,10,13,14,13,12,14,12
