,Date,Match Details,club,Player Name,MinsPlayed,TotalDistance(m),TopSpeed(km/h),AvgSpeed(km/h),HighIntensityActivity,Sprints(> 25.20 km/h)Dist (m),HSR(19.81-25.20 km/h)Dist (m),Distance (m)14.41-19.80km/h,7.21-14.40km/h,0.73-7.20km/h,< 0.72km/h,PDF Name,Young Player,Sprints(> 25.20 km/h) No,HSR(19.81-25.20 km/h) No,Key,season,lastName,firstName,Unnamed: 0,id,values,wages,contractexpires,nation,currentAbility,potentialAbility,position,date,aerialReach,commandofArea,communication,eccentricity,firstTouch,handling,kicking,oneonOnes,passing,punchingTendency,reflexes,rushingoutTendency,throwing,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,offtheBall,positioning,teamwork,vision,workRate,acceleration,agility,balance,jumpingReach,naturalFitness,pace,stamina,strength,freeKickTaking,penaltyTaking,technique
10,2020-11-08,Raków Częstochowa 0 - 0 Wisła Kraków,Wisła Kraków,Lis M.,96:54,"1157,01","18,65","0,72",0,"0,00","0,00","41,60","109,55","174,07","831,79",12518_filter_live_1.pdf,False,0,0,2020-11-08 Raków Częstochowa 0 - 0 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
11,2020-09-18,Wisła Kraków 0 - 3 Wisła Płock,Wisła Kraków,Lis M.,97:32,"3651,32","27,85","2,25",5,"9,50","60,01","101,92","580,53","2634,04","265,32",12479_filter_live_1.pdf,False,1,4,2020-09-18 Wisła Kraków 0 - 3 Wisła Płock,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
12,2021-02-12,Śląsk Wrocław 1 - 1 Wisła Kraków,Wisła Kraków,Lis M.,95:53,"5750,35","25,08","3,60",7,"0,00","72,64","178,49","1204,76","4146,77","147,69",12600_filter_live_1.pdf,False,0,7,2021-02-12 Śląsk Wrocław 1 - 1 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
13,2021-04-24,Wisła Kraków 0 - 0 Cracovia,Wisła Kraków,Lis M.,98:25,"5208,93","23,54","3,18",3,"0,00","26,00","169,35","731,23","4246,86","35,49",12692_filter_live_1.pdf,False,0,3,2021-04-24 Wisła Kraków 0 - 0 Cracovia,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
14,2020-07-18,Wisła Kraków 0 - 1 Arka Gdynia,Wisła Kraków,Lis M.,96:47,"5087,74","23,01","3,15",0,"0,00","0,00","212,29","789,58","4054,76","21,83",12442_filter_live_1.pdf,False,0,0,2020-07-18 Wisła Kraków 0 - 1 Arka Gdynia,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
15,2020-09-25,Górnik Zabrze 0 - 0 Wisła Kraków,Wisła Kraków,Lis M.,96:39,"5037,67","28,98","3,13",7,"13,37","93,77","181,92","639,76","4081,89","26,96",12482_filter_live_1.pdf,False,1,6,2020-09-25 Górnik Zabrze 0 - 0 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
16,2020-12-12,Wisła Kraków 1 - 2 Legia Warszawa,Wisła Kraków,Lis M.,95:15,"5425,66","24,67","3,42",5,"0,00","59,96","193,47","984,28","4145,32","42,63",12551_filter_live_1.pdf,False,0,5,2020-12-12 Wisła Kraków 1 - 2 Legia Warszawa,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
17,2021-03-05,Wisła Kraków 0 - 0 Górnik Zabrze,Wisła Kraków,Lis M.,93:23,"5801,72","26,17","3,73",6,"7,99","50,08","286,95","1498,23","3946,54","11,93",12625_filter_live_1.pdf,False,1,5,2021-03-05 Wisła Kraków 0 - 0 Górnik Zabrze,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
18,2021-04-17,Wisła Kraków 0 - 1 Warta Poznań,Wisła Kraków,Lis M.,97:45,"5470,94","25,66","3,36",7,"0,00","87,13","239,73","839,96","4263,76","40,36",12676_filter_live_1.pdf,False,0,7,2021-04-17 Wisła Kraków 0 - 1 Warta Poznań,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
19,2021-03-13,Lechia Gdańsk 2 - 0 Wisła Kraków,Wisła Kraków,Lis M.,96:40,"5844,19","25,30","3,63",6,"0,00","67,00","246,64","1377,91","4132,02","20,62",12635_filter_live_1.pdf,False,0,6,2021-03-13 Lechia Gdańsk 2 - 0 Wisła Kraków,2020/2021,Lis,M.,13,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62,GK,2020-11-23,14,12,12,6,10,13,11,13,11,16,14,13,11,5,11,11,8,9,10,13,5,12,6,11,10,11,9,11,12,12,17,10,11,8,10,7,3,9
