,Player Name,Season,Team Name,ID,Fminside Link
166,Kamil Drygas ,2020/2021,Pogoń Szczecin,81,https://fminside.net/players/2-fm-22/96010344-kamil-drygas
167,Adrian Benedyczak ,2020/2021,Pogoń Szczecin,82,https://fminside.net/players/2-fm-22/96114107-adrian-benedyczak
168,Kacper Smolinski ,2020/2021,Pogoń Szczecin,83,https://fminside.net/players/2-fm-22/96137873-kacper-smolinski
169,Tomás Podstawski ,2020/2021,Pogoń Szczecin,84,https://fminside.net/players/2-fm-22/55038682-tomas-podstawski
170,Luka Zahovic ,2020/2021,Pogoń Szczecin,85,https://fminside.net/players/2-fm-22/62094092-luka-zahovic
171,Santeri Hostikka ,2020/2021,Pogoń Szczecin,86,https://fminside.net/players/2-fm-22/33064225-santeri-hostikka
172,Mariusz Fornalczyk ,2020/2021,Pogoń Szczecin,87,https://fminside.net/players/2-fm-22/96162899-mariusz-fornalczyk
173,Matus Putnocky ,2020/2021,Śląsk Wrocław,88,https://fminside.net/players/7562341-matu-putnock
174,Lubambo Musonda ,2020/2021,Śląsk Wrocław,89,https://fminside.net/players/2-fm-22/59092467-lubambo-musonda
175,Israel Puerto ,2020/2021,Śląsk Wrocław,90,https://fminside.net/players/67156529-israel-puerto
176,Dino Stiglec ,2020/2021,Śląsk Wrocław,91,https://fminside.net/players/2-fm-22/24004748-dino-tiglec
177,Márk Tamás ,2020/2021,Śląsk Wrocław,92,https://fminside.net/players/2-fm-22/38037189-mark-tamas
178,Diego Zivulic ,2020/2021,Śląsk Wrocław,93,https://fminside.net/players/24018458-diego-ivuli
179,Filip Markovic ,2020/2021,Śląsk Wrocław,94,https://fminside.net/players/62060598-filip-markovic
180,Jakub Labojko ,2020/2021,Śląsk Wrocław,95,https://fminside.net/players/2-fm-22/96115997-jakub-labojko
181,Robert Pich ,2020/2021,Śląsk Wrocław,96,https://fminside.net/players/63010759-robert-pich
182,Przemyslaw Placheta ,2020/2021,Śląsk Wrocław,97,https://fminside.net/players/2-fm-22/96088106-przemyslaw-placheta
183,Erik Expósito ,2020/2021,Śląsk Wrocław,98,https://fminside.net/players/67229636-erik-exposito
184,Sebastian Bergier ,2020/2021,Śląsk Wrocław,99,https://fminside.net/players/2-fm-22/96113145-sebastian-bergier
185,Kamil Dankowski ,2020/2021,Śląsk Wrocław,100,https://fminside.net/players/96053730-kamil-dankowski
186,Damian Gaska ,2020/2021,Śląsk Wrocław,101,https://fminside.net/players/96102703-damian-gaska
188,Hubert Matynia ,2020/2021,Pogoń Szczecin,102,https://fminside.net/players/2-fm-22/96080076-hubert-matynia
191,Benedikt Zech ,2020/2021,Pogoń Szczecin,103,https://fminside.net/players/2-fm-22/16024102-benedikt-zech
193,Marcin Listkowski ,2020/2021,Pogoń Szczecin,104,https://fminside.net/players/2-fm-22/96088213-marcin-listkowski
197,Adam Fraczczak ,2020/2021,Pogoń Szczecin,105,https://fminside.net/players/2-fm-22/54002026-adam-fraczczak
198,Hubert Turski ,2020/2021,Pogoń Szczecin,106,https://fminside.net/players/2-fm-22/96142651-hubert-turski
200,Maciej Zurawski ,2020/2021,Pogoń Szczecin,107,https://fminside.net/players/2-fm-22/96115556-maciej-zurawski
257,Dominik Holec ,2020/2021,Raków Częstochowa,108,https://fminside.net/players/63024015-dominik-holec
258,Zoran Arsenic ,2020/2021,Raków Częstochowa,109,https://fminside.net/players/2-fm-22/24042681-zoran-arsenic
259,Andrzej Niewulis ,2020/2021,Raków Częstochowa,110,https://fminside.net/players/96003825-andrzej-niewulis
260,Kamil Piatkowski ,2020/2021,Raków Częstochowa,111,https://fminside.net/players/96131647-kamil-pitkowski
261,Patryk Kun ,2020/2021,Raków Częstochowa,112,https://fminside.net/players/2-fm-22/96063635-patryk-kun
263,David Tijanic ,2020/2021,Raków Częstochowa,113,https://fminside.net/players/62154498-david-tijani
264,Ivi López ,2020/2021,Raków Częstochowa,114,https://fminside.net/players/67179125-ivi-lopez
265,Fran Tudor ,2020/2021,Raków Częstochowa,115,https://fminside.net/players/2-fm-22/36096934-fran-tudor
266,Marko Poletanovic ,2020/2021,Raków Częstochowa,116,https://fminside.net/players/2-fm-22/62060482-marko-poletanovic
267,Vladislavs Gutkovskis ,2020/2021,Raków Częstochowa,117,https://fminside.net/players/2-fm-22/47023317-vladislavs-gutkovskis
268,Mateusz Wdowiak ,2020/2021,Raków Częstochowa,118,https://fminside.net/players/96046911-mateusz-wdowiak
270,Petr Schwarz ,2020/2021,Raków Częstochowa,119,https://fminside.net/players/25034136-petr-schwarz
271,Jakub Arak ,2020/2021,Raków Częstochowa,120,https://fminside.net/players/96027100-jakub-arak
275,Tomasz Mokwa ,2020/2021,Piast Gliwice,121,https://fminside.net/players/2-fm-22/96048676-tomasz-mokwa
285,Tiago Alves ,2020/2021,Piast Gliwice,122,https://fminside.net/players/2-fm-22/83108070-tiago-alves
315,Filip Bednarek ,2020/2021,Lech Poznań,123,https://fminside.net/players/2-fm-22/168244-filip-bednarek
316,Bogdan Butko ,2020/2021,Lech Poznań,124,https://fminside.net/players/2-fm-22/71006567-bogdan-butko
317,Tomasz Dejewski ,2020/2021,Lech Poznań,125,https://fminside.net/players/2-fm-22/96049067-tomasz-dejewski
318,Lubomir Satka ,2020/2021,Lech Poznań,126,https://www.transfermarkt.pl/lubomir-satka/profil/spieler/168408
319,Ukraiński obrońca Wasyl Kraweć w Lechu Poznań | Transfermarkt,2020/2021,Lech Poznań,127,https://www.transfermarkt.pl/ukrai%C5%84ski-obro%C5%84ca-wasyl-krawe%C4%87-w-lechu-pozna%C5%84/view/news/370562
320,Jakub Moder ,2020/2021,Lech Poznań,128,https://fminside.net/players/96086697-jakub-moder
321,Pedro Tiba ,2020/2021,Lech Poznań,129,https://fminside.net/players/55013997-pedro-tiba
322,Dani Ramírez ,2020/2021,Lech Poznań,130,https://fminside.net/players/67156427-dani-ramirez
323,Jakub Kaminski ,2020/2021,Lech Poznań,131,https://fminside.net/players/96121228-jakub-kamiski
324,Tymoteusz Puchacz ,2020/2021,Lech Poznań,132,https://fminside.net/players/2-fm-22/96086694-tymoteusz-puchacz
325,Mohammad Awwad ,2020/2021,Lech Poznań,133,https://fminside.net/players/2-fm-22/42068780-muhammad-awwad
326,Alan Czerwinski ,2020/2021,Lech Poznań,134,https://fminside.net/players/2-fm-22/96048932-alan-czerwinski
327,Hubert Sobol ,2020/2021,Lech Poznań,135,https://fminside.net/players/2-fm-22/96105329-hubert-sobol
328,Filip Marchwinski ,2020/2021,Lech Poznań,136,https://fminside.net/players/2-fm-22/96116988-filip-marchwinski
330,Lukasz Burliga ,2020/2021,Wisła Kraków,137,https://fminside.net/players/2-fm-22/54004036-lukasz-burliga
332,Dawid Szot ,2020/2021,Wisła Kraków,138,https://fminside.net/players/2-fm-22/96142663-dawid-szot
333,Adi Mehremic ,2020/2021,Wisła Kraków,139,https://fminside.net/players/21020914-adi-mehremic
334,Stefan Savic ,2020/2021,Wisła Kraków,140,https://fminside.net/players/2-fm-22/62012567-stefan-savic
335,Patryk Plewka ,2020/2021,Wisła Kraków,141,https://fminside.net/players/2-fm-22/96108638-patryk-plewka
336,Georgi Zhukov ,2020/2021,Wisła Kraków,142,https://fminside.net/players/18060344-georgii-zhukov
337,Jonathan Silva ,2020/2021,Wisła Kraków,143,https://fminside.net/players/2-fm-22/19350832-jonathan-silva
338,Yaw Yeboah ,2020/2021,Wisła Kraków,144,https://fminside.net/players/2-fm-22/13158403-yaw-yeboah
339,Felicio Brown Forbes ,2020/2021,Wisła Kraków,145,https://fminside.net/players/2-fm-22/91018523-felicio-brown-forbes
340,Jakub Blaszczykowski ,2020/2021,Wisła Kraków,146,https://fminside.net/players/2-fm-22/719793-jakub-blaszczykowski
341,Dawid Abramowicz ,2020/2021,Wisła Kraków,147,https://fminside.net/players/96018213-dawid-abramowicz
493,Fatos Beqiraj ,2020/2021,Wisła Kraków,148,https://fminside.net/players/2-fm-22/62028960-fatos-beciraj
499,Mariusz Pawelec ,2020/2021,Śląsk Wrocław,149,https://fminside.net/players/2-fm-22/717425-mariusz-pawelec
501,Piotr Celeban ,2020/2021,Śląsk Wrocław,150,https://fminside.net/players/717757-piotr-celeban
502,Wojciech Golla ,2020/2021,Śląsk Wrocław,151,https://fminside.net/players/96001405-wojciech-golla
503,Waldemar Sobota ,2020/2021,Śląsk Wrocław,152,https://fminside.net/players/2-fm-22/96000016-waldemar-sobota
507,Mateusz Praszelik ,2020/2021,Śląsk Wrocław,153,https://fminside.net/players/2-fm-22/96105431-mateusz-praszelik
508,Fabian Piasecki ,2020/2021,Śląsk Wrocław,154,https://fminside.net/players/96062299-fabian-piasecki
509,Mathieu Scalet ,2020/2021,Śląsk Wrocław,155,https://fminside.net/players/96090746-mathieu-scalet
510,Maciej Palaszewski ,2020/2021,Śląsk Wrocław,156,https://fminside.net/players/2-fm-22/96079301-maciej-palaszewski
511,Piotr Samiec,2020/2021,Śląsk Wrocław,157,https://fminside.net/players/2-fm-22/96137843-piotr-samiec-talar
512,Przemyslaw Bargiel ,2020/2021,Śląsk Wrocław,158,https://fminside.net/players/2-fm-22/96103898-przemyslaw-bargiel
513,Artur Boruc ,2020/2021,Legia Warszawa,159,https://fminside.net/players/713854-artur-boruc
514,Mateusz Wieteska ,2020/2021,Legia Warszawa,160,https://fminside.net/players/2-fm-22/96059426-mateusz-wieteska
515,Artem Shabanov ,2020/2021,Legia Warszawa,161,https://fminside.net/players/2-fm-22/71031648-artem-shabanov
516,Josip Juranovic ,2020/2021,Legia Warszawa,162,https://fminside.net/players/24047634-josip-juranovic
517,Bartosz Kapustka ,2020/2021,Legia Warszawa,163,https://fminside.net/players/96049729-bartosz-kapustka
518,Bartosz Slisz ,2020/2021,Legia Warszawa,164,https://fminside.net/players/2-fm-22/96111188-bartosz-slisz
519,Filip Mladenovic ,2020/2021,Legia Warszawa,165,https://fminside.net/players/2-fm-22/62025449-filip-mladenovic
520,Luquinhas ,2020/2021,Legia Warszawa,166,https://fminside.net/players/2-fm-22/84109364-luquinhas
521,André Martins ,2020/2021,Legia Warszawa,167,https://fminside.net/players/2-fm-22/55009957-andre-martins
522,Pawel Wszolek ,2020/2021,Legia Warszawa,168,https://fminside.net/players/96008522-pawel-wszolek
523,Rafa Lopes ,2020/2021,Legia Warszawa,169,https://fminside.net/players/2-fm-22/83253993-rafa-lopes
524,Valeriane Gvilia ,2020/2021,Legia Warszawa,170,https://fminside.net/players/2-fm-22/71072151-valeriane-gvilia
525,Tomas Pekhart ,2020/2021,Legia Warszawa,171,https://fminside.net/players/2-fm-22/28005831-toma-pekhart
526,Adrian Lis ,2020/2021,Warta Poznań,172,https://fminside.net/players/2-fm-22/96010249-adrian-lis
527,Aleks Lawniczak ,2020/2021,Warta Poznań,173,https://fminside.net/players/2-fm-22/96145161-aleks-lawniczak
528,Robert Ivanov ,2020/2021,Warta Poznań,174,https://fminside.net/players/2-fm-22/33061077-robert-ivanov
529,Jan Grzesik ,2020/2021,Warta Poznań,175,https://fminside.net/players/2-fm-22/96061692-jan-grzesik
531,Makana Baku ,2020/2021,Warta Poznań,176,https://fminside.net/players/2-fm-22/92091314-makana-baku
532,Mateusz Kupczak ,2020/2021,Warta Poznań,177,https://fminside.net/players/2-fm-22/96018070-mateusz-kupczak
534,Mateusz Czyzycki ,2020/2021,Warta Poznań,178,https://fminside.net/players/2-fm-22/96106614-mateusz-czyzycki
535,Mateusz Kuzimski ,2020/2021,Warta Poznań,179,https://fminside.net/players/2-fm-22/96031407-mateusz-kuzimski
536,Adam Zrelak ,2020/2021,Warta Poznań,180,https://fminside.net/players/2-fm-22/63025549-adam-zrelak
537,Mariusz Rybicki ,2020/2021,Warta Poznań,181,https://fminside.net/players/2-fm-22/96031067-mariusz-rybicki
570,Bartosz Kieliba ,2020/2021,Warta Poznań,182,https://fminside.net/players/2-fm-22/96009325-bartosz-kieliba
571,Jakub Kuzdra ,2020/2021,Warta Poznań,183,https://fminside.net/players/2-fm-22/96086516-jakub-kuzdra
575,Michal Jakobowski ,2020/2021,Warta Poznań,184,https://fminside.net/players/2-fm-22/96032463-michal-jakobowski
576,Lukasz Tralka ,2020/2021,Warta Poznań,185,https://fminside.net/players/2-fm-22/717766-lukasz-tralka
577,Gracjan Jaroch ,2020/2021,Warta Poznań,186,https://fminside.net/players/2-fm-22/96104764-gracjan-jaroch
580,Adrian Laskowski ,2020/2021,Warta Poznań,187,https://fminside.net/players/2-fm-22/96018159-adrian-laskowski
581,Dusan Kuciak ,2020/2021,Lechia Gdańsk,188,https://fminside.net/players/7560127-duan-kuciak
582,Karol Fila ,2020/2021,Lechia Gdańsk,189,https://fminside.net/players/96093091-karol-fila
583,Michal Nalepa ,2020/2021,Lechia Gdańsk,190,https://fminside.net/players/2-fm-22/96064350-michal-nalepa
584,Bartosz Kopacz ,2020/2021,Lechia Gdańsk,191,https://fminside.net/players/96007386-bartosz-kopacz
585,Rafal Pietrzak ,2020/2021,Lechia Gdańsk,192,https://fminside.net/players/2-fm-22/54008755-rafal-pietrzak
586,Jaroslav Mihalik ,2020/2021,Lechia Gdańsk,193,https://fminside.net/players/2-fm-22/63013144-jaroslav-mihalik
587,Maciej Gajos ,2020/2021,Lechia Gdańsk,194,https://fminside.net/players/2-fm-22/96002753-maciej-gajos
588,Jaroslaw Kubicki ,2020/2021,Lechia Gdańsk,195,https://fminside.net/players/96052624-jaroslaw-kubicki
589,Tomasz Makowski ,2020/2021,Lechia Gdańsk,196,https://fminside.net/players/2-fm-22/96093081-tomasz-makowski
590,Flávio Paixão ,2020/2021,Lechia Gdańsk,197,https://fminside.net/players/2-fm-22/67039209-flavio-paixao
591,Lukasz Zwolinski ,2020/2021,Lechia Gdańsk,198,https://fminside.net/players/96032774-lukasz-zwolinski
592,Jakub Kaluzinski ,2020/2021,Lechia Gdańsk,199,https://fminside.net/players/2-fm-22/96132920-jakub-kaluzinski
593,Zarko Udovicic ,2020/2021,Lechia Gdańsk,200,https://fminside.net/players/1-fm-21/62013679-arko-udovicic
594,Omran Haydary ,2020/2021,Lechia Gdańsk,201,https://fminside.net/players/37073812-omran-haydary
627,Mikkel Kirkeskov ,2020/2021,Piast Gliwice,202,https://fminside.net/players/27013698-mikkel-kirkeskov
628,Sebastian Milewski ,2020/2021,Piast Gliwice,203,https://fminside.net/players/96090581-sebastian-milewski
635,Jakub Holubek ,2020/2021,Piast Gliwice,204,https://fminside.net/players/63011025-jakub-holubek
643,Damian Zbozien ,2020/2021,Wisła Płock,205,https://fminside.net/players/2-fm-22/54003779-damian-zbozien
644,Milan Obradovic ,2020/2021,Wisła Płock,206,https://fminside.net/players/62163525-milan-obradovi
648,Piotr Pyrdol ,2020/2021,Wisła Płock,207,https://fminside.net/players/2-fm-22/96111616-piotr-pyrdol
649,Cillian Sheridan ,2020/2021,Wisła Płock,208,https://fminside.net/players/155141-cillian-sheridan
650,Torgil Gjertsen ,2020/2021,Wisła Płock,209,https://fminside.net/players/2-fm-22/53029798-torgil-gjertsen
651,Airam Cabrera ,2020/2021,Wisła Płock,210,https://fminside.net/players/67062196-airam-cabrera
654,Jakub Szumski ,2020/2021,Raków Częstochowa,211,https://fminside.net/players/96009983-jakub-szumski
656,Maciej Wilusz ,2020/2021,Raków Częstochowa,212,https://fminside.net/players/2-fm-22/37005764-maciej-wilusz
657,Tomas Petrasek ,2020/2021,Raków Częstochowa,213,https://fminside.net/players/25044947-toma-petraek
661,Igor Sapala ,2020/2021,Raków Częstochowa,214,https://fminside.net/players/2-fm-22/96100294-igor-sapala
665,Daniel Bartl ,2020/2021,Raków Częstochowa,215,https://fminside.net/players/25020643-daniel-bartl
669,Piotr Malinowski ,2020/2021,Raków Częstochowa,216,https://fminside.net/players/2-fm-22/54004105-piotr-malinowski
673,Damian Michalski ,2020/2021,Wisła Płock,217,https://fminside.net/players/96104160-damian-michalski
681,Wojciech Szumilas ,2020/2021,Wisła Płock,218,https://fminside.net/players/2-fm-22/96108993-wojciech-szumilas
682,Aleksander Pawlak ,2020/2021,Wisła Płock,219,https://fminside.net/players/96149927-aleksander-pawlak
741,Martin Chudy ,2020/2021,Górnik Zabrze,220,https://fminside.net/players/63004646-martin-chud
742,Aleksander Paluszek ,2020/2021,Górnik Zabrze,221,https://fminside.net/players/2-fm-22/96137857-aleksander-paluszek
743,Adrian Gryszkiewicz ,2020/2021,Górnik Zabrze,222,https://www.transfermarkt.pl/adrian-gryszkiewicz/profil/spieler/388944
744,Przemyslaw Wisniewski ,2020/2021,Górnik Zabrze,223,https://fminside.net/players/2-fm-22/96136102-przemyslaw-wisniewski
745,Erik Janza ,2020/2021,Górnik Zabrze,224,https://fminside.net/players/2-fm-22/62070855-erik-jana
746,Georgios Masouras ,2020/2021,Górnik Zabrze,225,https://en.wikipedia.org/wiki/Georgios_Masouras
747,Krzysztof Kubica ,2020/2021,Górnik Zabrze,226,https://fminside.net/players/2-fm-22/96142780-krzysztof-kubica
748,Alasana Manneh ,2020/2021,Górnik Zabrze,227,https://fminside.net/players/2-fm-22/219033-alasana-manneh
749,Bartosz Nowak ,2020/2021,Górnik Zabrze,228,https://fminside.net/players/2-fm-22/96020398-bartosz-nowak
750,Alex Sobczyk ,2020/2021,Górnik Zabrze,229,https://fminside.net/players/2-fm-22/16162483-alex-sobczyk
751,Jesús Jiménez ,2020/2021,Górnik Zabrze,230,https://fminside.net/players/2-fm-22/67278165-jesus-jimenez
752,Piotr Krawczyk ,2020/2021,Górnik Zabrze,231,https://fminside.net/players/96064110-piotr-krawczyk
753,Norbert Wojtuszek ,2020/2021,Górnik Zabrze,232,https://fminside.net/players/2-fm-22/96148927-norbert-wojtuszek
754,Stefanos Evangelou ,2020/2021,Górnik Zabrze,233,https://fminside.net/players/2-fm-22/36099042-stefanos-evangelou
755,Richmond Boakye ,2020/2021,Górnik Zabrze,234,https://fminside.net/players/43061332-richmond-boakye
762,Maciej Jankowski ,2020/2021,PGE FKS Stal Mielec,235,https://fminside.net/players/2-fm-22/96018381-maciej-jankowski
768,Lukasz Zjawinski ,2020/2021,PGE FKS Stal Mielec,236,https://fminside.net/players/2-fm-22/96115263-lukasz-zjawinski
771,Wojciech Lisowski ,2020/2021,PGE FKS Stal Mielec,237,https://fminside.net/players/96009985-wojciech-lisowski
804,Kristers Tobers ,2020/2021,Lechia Gdańsk,238,https://fminside.net/players/47090280-kristers-tobers
805,Kenny Saief ,2020/2021,Lechia Gdańsk,239,https://fminside.net/players/2-fm-22/42022933-kenny-saief
806,Egzon Kryeziu ,2020/2021,Lechia Gdańsk,240,https://fminside.net/players/62213205-egzon-kryeziu
807,Mateusz Zukowski ,2020/2021,Lechia Gdańsk,241,https://fminside.net/players/2-fm-22/96115482-mateusz-zukowski
815,Conrado ,2020/2021,Lechia Gdańsk,242,https://fminside.net/players/19359019-conrado
947,David Stec ,2020/2021,Pogoń Szczecin,243,https://fminside.net/players/16096611-david-stec
948,Kacper Kozlowski ,2020/2021,Pogoń Szczecin,244,https://fminside.net/players/96145145-kacper-kozowski
950,Alexander Gorgon ,2020/2021,Pogoń Szczecin,245,https://fminside.net/players/2-fm-22/16003912-alexander-gorgon
959,Michal Peskovic ,2020/2021,Podbeskidzie Bielsko - Biała,246,https://fminside.net/players/2-fm-22/7560458-michal-pekovic
960,Kacper Gach ,2020/2021,Podbeskidzie Bielsko - Biała,247,https://fminside.net/players/96120693-kacper-gach
961,"Dmytro Baszłaj – Wikipedia, wolna encyklopedia",2020/2021,Podbeskidzie Bielsko - Biała,248,https://pl.wikipedia.org/wiki/Dmytro_Basz%C5%82aj
962,Milan Rundic ,2020/2021,Podbeskidzie Bielsko - Biała,249,https://fminside.net/players/2-fm-22/62079391-milan-rundic
963,Filip Modelski ,2020/2021,Podbeskidzie Bielsko - Biała,250,https://fminside.net/players/2-fm-22/29087281-filip-modelski
964,Michal Rzuchowski ,2020/2021,Podbeskidzie Bielsko - Biała,251,https://fminside.net/players/2-fm-22/96028993-michal-rzuchowski
965,Maksymilian Sitek ,2020/2021,Podbeskidzie Bielsko - Biała,252,https://fminside.net/players/2-fm-22/96122120-maksymilian-sitek
966,Lukasz Sierpina ,2020/2021,Podbeskidzie Bielsko - Biała,253,https://fminside.net/players/2-fm-22/96004758-lukasz-sierpina
