PDF Name;Date;Match Details;Match Length;Net Playing Time;Net Playing Time (1st half);Net Playing Time (2nd half);Team Name;Possession;Net Poss. Time;Net Poss. Time (1st half);Net Poss. Time (2nd half);Distance (m);Sprints;High Speed Runs;Sprint Distance (m);Top Speed (Player);Top Speed (Young Player);Top Speed (km/h);Max Distance (Player);Max Distance (Young Player);Max Distance (m);Max Sprints (Player);Max Sprints (Young Player);Max Sprints;Key;Season
12553_filter_live_1.pdf;2020-12-19;Cracovia 0 - 3 Lechia Gdańsk;0.1:36:38;0.0:54:26;0.0:24:0;0.0:30:26;Cracovia;52%;0.0:32:0;0.0:15:48;0.0:16:12;22072,94;22;103;331,79;Zaucha P.;True;31,33;van Amersfoort P.;False;2975,05;Gardawski M.;False;5;2020-12-19 Cracovia 0 - 3 Lechia Gdańsk;2020/2021
12553_filter_live_1.pdf;2020-12-19;Cracovia 0 - 3 Lechia Gdańsk;0.1:36:38;0.0:54:26;0.0:24:0;0.0:30:26;Lechia Gdańsk;48%;0.0:21:49;0.0:7:38;0.0:14:11;6795,36;9;29;152,37;Kałuziński J.;True;30,92;Pietrzak R.;False;1328,31;Haydary O.;False;2;2020-12-19 Cracovia 0 - 3 Lechia Gdańsk;2020/2021
12518_filter_live_1.pdf;2020-11-08;Raków Częstochowa 0 - 0 Wisła Kraków;0.1:36:54;0.0:56:50;0.0:30:50;0.0:26:0;Raków Częstochowa;50%;0.0:24:40;0.0:12:51;0.0:11:49;67634,91;39;259;691,53;Tijanić D.;False;33,31;Niewulis A.;False;6921,54;Kun P.;False;7;2020-11-08 Raków Częstochowa 0 - 0 Wisła Kraków;2020/2021
12518_filter_live_1.pdf;2020-11-08;Raków Częstochowa 0 - 0 Wisła Kraków;0.1:36:54;0.0:56:50;0.0:30:50;0.0:26:0;Wisła Kraków;50%;0.0:30:8;0.0:16:54;0.0:13:14;92048,93;76;412;1396,75;Niepsuj D.;False;33,16;Chuca;False;9877,46;Abramowicz D.;False;14;2020-11-08 Raków Częstochowa 0 - 0 Wisła Kraków;2020/2021
Miedź Legnica - Śląsk Wrocław.pdf;2018-10-26;Miedź Legnica 0 - 5 Śląsk Wrocław;0.1:32:13;0.0:52:44;0.0:23:34;0.0:29:10;Miedź Legnica;57%;0.0:29:21;0.0:11:37;0.0:17:44;108956,29;106;487;1927,08;Cruz Torres F.;False;34,11;Łobodziński W.;False;11141,33;Zieliński P.;False;13;2018-10-26 Miedź Legnica 0 - 5 Śląsk Wrocław;2018/2019
Miedź Legnica - Śląsk Wrocław.pdf;2018-10-26;Miedź Legnica 0 - 5 Śląsk Wrocław;0.1:32:13;0.0:52:44;0.0:23:34;0.0:29:10;Śląsk Wrocław;43%;0.0:22:9;0.0:11:13;0.0:10:56;111790,65;118;509;2127,43;Robak M.;False;33,84;Gąska D.;False;12282,66;Cholewiak M.;False;27;2018-10-26 Miedź Legnica 0 - 5 Śląsk Wrocław;2018/2019
Zagłębie Lubin - Wisła Kraków.pdf;2019-04-13;KGHM Zagłębie Lubin 3 - 1 Wisła Kraków;0.1:38:18;0.0:56:22;0.0:27:11;0.0:29:11;KGHM Zagłębie Lubin;46%;0.0:25:22;0.0:12:22;0.0:13:0;118402,06;108;548;2357,61;Pawłowski B.;False;34,11;Starzyński F.;False;12472,45;Bohar D.;False;20;2019-04-13 KGHM Zagłębie Lubin 3 - 1 Wisła Kraków;2018/2019
Zagłębie Lubin - Wisła Kraków.pdf;2019-04-13;KGHM Zagłębie Lubin 3 - 1 Wisła Kraków;0.1:38:18;0.0:56:22;0.0:27:11;0.0:29:11;Wisła Kraków;54%;0.0:30:34;0.0:14:34;0.0:16:0;115382,99;101;565;1810,94;Palcić M.;False;33,17;Savicević V.;False;12169,32;Peszko S.;False;15;2019-04-13 KGHM Zagłębie Lubin 3 - 1 Wisła Kraków;2018/2019
12620_filter_live_1.pdf;2021-02-27;Górnik Zabrze 1 - 2 Legia Warszawa;0.1:41:24;0.0:52:19;0.0:25:27;0.0:26:52;Górnik Zabrze;46%;0.0:23:9;0.0:10:53;0.0:12:16;118265,52;97;596;1862,94;Masouras G.;False;34,66;Kubica K.;True;12171,98;Masouras G.;False;23;2021-02-27 Górnik Zabrze 1 - 2 Legia Warszawa;2020/2021
12620_filter_live_1.pdf;2021-02-27;Górnik Zabrze 1 - 2 Legia Warszawa;0.1:41:24;0.0:52:19;0.0:25:27;0.0:26:52;Legia Warszawa;54%;0.0:28:41;0.0:14:19;0.0:14:22;114805,7;109;589;1995,71;Mladenović F.;False;33,38;Kapustka B.;False;11831,51;Juranović J.;False;24;2021-02-27 Górnik Zabrze 1 - 2 Legia Warszawa;2020/2021
12471_filter_live_1.pdf;2020-09-12;Śląsk Wrocław 3 - 3 Lech Poznań;0.1:37:9;0.0:56:13;0.0:28:42;0.0:27:31;Śląsk Wrocław;40%;0.0:22:0;0.0:12:2;0.0:9:58;113973,06;103;581;1811,8;Musonda L.;False;33,23;Łabojko J.;False;11146,12;Celeban P.;False;17;2020-09-12 Śląsk Wrocław 3 - 3 Lech Poznań;2020/2021
