,Player Name,Season,Team Name,Fminside Link
90,Israel Puerto ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/67156529-israel-puerto
91,Dino Stiglec ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/24004748-dino-tiglec
92,Márk Tamás ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/38037189-mark-tamas
93,Diego Zivulic ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/24018458-diego-ivuli
94,Filip Markovic ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/62060598-filip-markovic
95,Jakub Labojko ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/96115997-jakub-labojko
96,Robert Pich ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/63010759-robert-pich
97,Przemyslaw Placheta ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/96088106-przemyslaw-placheta
98,Erik Expósito ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/67229636-erik-exposito
99,Sebastian Bergier ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/96113145-sebastian-bergier
100,Kamil Dankowski ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/96053730-kamil-dankowski
101,Damian Gaska ,2020/2021,Śląsk Wrocław,https://fminside.net/players/2-fm-22/96102703-damian-gaska
102,Hubert Matynia ,2020/2021,Pogoń Szczecin,https://fminside.net/players/2-fm-22/96080076-hubert-matynia
103,Benedikt Zech ,2020/2021,Pogoń Szczecin,https://fminside.net/players/2-fm-22/16024102-benedikt-zech
104,Marcin Listkowski ,2020/2021,Pogoń Szczecin,https://fminside.net/players/2-fm-22/96088213-marcin-listkowski
105,Adam Fraczczak ,2020/2021,Pogoń Szczecin,https://fminside.net/players/2-fm-22/54002026-adam-fraczczak
106,Hubert Turski ,2020/2021,Pogoń Szczecin,https://fminside.net/players/2-fm-22/96142651-hubert-turski
107,Maciej Zurawski ,2020/2021,Pogoń Szczecin,https://fminside.net/players/2-fm-22/96115556-maciej-zurawski
108,Dominik Holec ,2020/2021,Raków Częstochowa,https://fminside.net/players/2-fm-22/63024015-dominik-holec
109,Zoran Arsenic ,2020/2021,Raków Częstochowa,https://fminside.net/players/2-fm-22/24042681-zoran-arsenic
110,Andrzej Niewulis ,2020/2021,Raków Częstochowa,https://fminside.net/players/2-fm-22/96003825-andrzej-niewulis
111,Kamil Piatkowski ,2020/2021,Raków Częstochowa,https://fminside.net/players/2-fm-22/96131647-kamil-pitkowski
112,Patryk Kun ,2020/2021,Raków Częstochowa,https://fminside.net/players/2-fm-22/96063635-patryk-kun
113,David Tijanic ,2020/2021,Raków Częstochowa,https://fminside.net/players/2-fm-22/62154498-david-tijani
114,Ivi López ,2020/2021,Raków Częstochowa,https://fminside.net/players/2-fm-22/67179125-ivi-lopez
115,Fran Tudor ,2020/2021,Raków Częstochowa,https://fminside.net/players/2-fm-22/36096934-fran-tudor
116,Marko Poletanovic ,2020/2021,Raków Częstochowa,https://fminside.net/players/2-fm-22/62060482-marko-poletanovic
117,Vladislavs Gutkovskis ,2020/2021,Raków Częstochowa,https://fminside.net/players/2-fm-22/47023317-vladislavs-gutkovskis
118,Mateusz Wdowiak ,2020/2021,Raków Częstochowa,https://fminside.net/players/2-fm-22/96046911-mateusz-wdowiak
119,Petr Schwarz ,2020/2021,Raków Częstochowa,https://fminside.net/players/2-fm-22/25034136-petr-schwarz
120,Jakub Arak ,2020/2021,Raków Częstochowa,https://fminside.net/players/2-fm-22/96027100-jakub-arak
121,Tomasz Mokwa ,2020/2021,Piast Gliwice,https://fminside.net/players/2-fm-22/96048676-tomasz-mokwa
122,Tiago Alves ,2020/2021,Piast Gliwice,https://fminside.net/players/2-fm-22/83108070-tiago-alves
123,Filip Bednarek ,2020/2021,Lech Poznań,https://fminside.net/players/2-fm-22/168244-filip-bednarek
124,Bogdan Butko ,2020/2021,Lech Poznań,https://fminside.net/players/2-fm-22/71006567-bogdan-butko
125,Tomasz Dejewski ,2020/2021,Lech Poznań,https://fminside.net/players/2-fm-22/96049067-tomasz-dejewski
128,Jakub Moder ,2020/2021,Lech Poznań,https://fminside.net/players/2-fm-22/96086697-jakub-moder
129,Pedro Tiba ,2020/2021,Lech Poznań,https://fminside.net/players/2-fm-22/55013997-pedro-tiba
130,Dani Ramírez ,2020/2021,Lech Poznań,https://fminside.net/players/2-fm-22/67156427-dani-ramirez
131,Jakub Kaminski ,2020/2021,Lech Poznań,https://fminside.net/players/2-fm-22/96121228-jakub-kamiski
132,Tymoteusz Puchacz ,2020/2021,Lech Poznań,https://fminside.net/players/2-fm-22/96086694-tymoteusz-puchacz
133,Mohammad Awwad ,2020/2021,Lech Poznań,https://fminside.net/players/2-fm-22/42068780-muhammad-awwad
134,Alan Czerwinski ,2020/2021,Lech Poznań,https://fminside.net/players/2-fm-22/96048932-alan-czerwinski
135,Hubert Sobol ,2020/2021,Lech Poznań,https://fminside.net/players/2-fm-22/96105329-hubert-sobol
136,Filip Marchwinski ,2020/2021,Lech Poznań,https://fminside.net/players/2-fm-22/96116988-filip-marchwinski
137,Lukasz Burliga ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/54004036-lukasz-burliga
138,Dawid Szot ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/96142663-dawid-szot
139,Adi Mehremic ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/21020914-adi-mehremic
140,Stefan Savic ,2020/2021,Wisła Kraków,https://fminside.net/players/2-fm-22/62012567-stefan-savic
