,Date,Match Details,club,Player Name,MinsPlayed,TotalDistance(m),TopSpeed(km/h),AvgSpeed(km/h),HighIntensityActivity,Sprints(> 25.20 km/h)Dist (m),HSR(19.81-25.20 km/h)Dist (m),Distance (m)14.41-19.80km/h,7.21-14.40km/h,0.73-7.20km/h,< 0.72km/h,PDF Name,Young Player,Sprints(> 25.20 km/h) No,HSR(19.81-25.20 km/h) No,Key,season,lastName,firstName,Unnamed: 0,id,values,wages,contractexpires,nation,currentAbility,potentialAbility,position,date,corners,crossing,dribbling,finishing,firstTouch,freeKickTaking,heading,longShots,longThrows,marking,passing,penaltyTaking,tackling,technique,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,offtheBall,positioning,teamwork,vision,workRate,acceleration,agility,balance,jumpingReach,naturalFitness,pace,stamina,strength
10,2020-07-18,Wisła Kraków 0 - 1 Arka Gdynia,Wisła Kraków,Chuca,73:02,"8593,70","32,26","7,06",69,"282,88","715,39","1469,93","3486,05","2523,16","116,29",12442_filter_live_1.pdf,False,16,53,2020-07-18 Wisła Kraków 0 - 1 Arka Gdynia,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
11,2020-12-12,Wisła Kraków 1 - 2 Legia Warszawa,Wisła Kraków,Chuca,49:04,"5680,60","30,28","6,95",44,"137,42","527,85","1060,65","2294,53","1656,11","4,04",12551_filter_live_1.pdf,False,8,36,2020-12-12 Wisła Kraków 1 - 2 Legia Warszawa,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
12,2021-03-05,Wisła Kraków 0 - 0 Górnik Zabrze,Wisła Kraków,Chuca,30:50,"4016,97","30,62","7,82",32,"94,82","350,51","764,80","1681,68","1124,16","1,00",12625_filter_live_1.pdf,False,5,27,2021-03-05 Wisła Kraków 0 - 0 Górnik Zabrze,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
13,2020-07-03,ŁKS Łódź 1 - 2 Wisła Kraków,Wisła Kraków,Chuca,47:32,"5420,11","30,88","6,84",35,"97,11","382,86","876,35","2405,78","1638,48","19,53",12417_filter_live_1.pdf,False,4,31,2020-07-03 ŁKS Łódź 1 - 2 Wisła Kraków,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
14,2020-08-24,Jagiellonia Białystok 1 - 1 Wisła Kraków,Wisła Kraków,Chuca,85:42,"10366,78","30,73","7,26",54,"41,84","620,58","2063,89","4584,74","3049,28","6,45",12456_filter_live_1.pdf,False,3,51,2020-08-24 Jagiellonia Białystok 1 - 1 Wisła Kraków,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
15,2021-02-28,Wisła Płock 1 - 3 Wisła Kraków,Wisła Kraków,Chuca,72:26,"8118,93","29,56","6,72",50,"137,59","604,84","1409,15","3480,72","2449,63","37,00",12623_filter_live_1.pdf,False,7,43,2021-02-28 Wisła Płock 1 - 3 Wisła Kraków,2020/2021,Chuca,,89,67227812,€ 53.000,€ 1.800,2022-06-30,Spain,52,58,MC,2020-11-23,13,12,12,10,11,9,6,9,4,10,13,10,9,13,3,10,9,10,11,12,13,11,7,11,10,13,13,10,13,13,12,9,8,11,10,7
16,2021-04-25,PGE FKS Stal Mielec 1 - 0 Pogoń Szczecin,Pogoń Szczecin,Mata L.,88:37,"9250,73","32,83","6,26",83,"395,00","936,35","1281,39","3221,80","3332,06","84,13",12694_filter_live_1.pdf,False,19,64,2021-04-25 PGE FKS Stal Mielec 1 - 0 Pogoń Szczecin,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
17,2020-11-27,Górnik Zabrze 2 - 1 Pogoń Szczecin,Pogoń Szczecin,Mata L.,61:18,"7245,77","29,42","7,09",52,"137,45","551,40","1542,87","3086,31","1719,24","208,50",12529_filter_live_1.pdf,False,10,42,2020-11-27 Górnik Zabrze 2 - 1 Pogoń Szczecin,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
18,2021-02-06,Pogoń Szczecin 1 - 0 Cracovia,Pogoń Szczecin,Mata L.,0:00,"10776,60","28,87","0,00",78,"200,14","933,34","1868,03","4604,78","3094,39","75,92",12595_filter_live_1.pdf,False,13,65,2021-02-06 Pogoń Szczecin 1 - 0 Cracovia,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
19,2021-02-28,Śląsk Wrocław 2 - 1 Pogoń Szczecin,Pogoń Szczecin,Mata L.,73:27,"8792,50","29,09","7,18",56,"141,42","699,31","1691,01","4068,24","2171,58","20,94",12622_filter_live_1.pdf,False,9,47,2021-02-28 Śląsk Wrocław 2 - 1 Pogoń Szczecin,2020/2021,Mata,L.,69,55070306,€ 41.000,€ 1.300,2023-06-30,Portugal,48,58,DL,2020-11-23,12,12,11,7,11,10,9,10,8,8,12,10,10,12,8,10,7,11,9,8,10,11,8,12,8,12,11,10,13,13,10,10,13,12,10,6
